name,parent,clusterid,label,compute_pos,svg_pos,model_level,percentage,mi,children
Z2322,Z3124,5,"collected,validate,collect,validation,collecting,implications,argue","5164.83333333,-1310.13333333","5100.2,-1290.6",2,0.23,"Z3124,0.42284153768533045","Z1884,Z1885,Z1886"
Z2323,Z3125,5,"patterns,trends,trend,pattern","5005.45,-1147.9","4993.6,-1181.8",2,0.30,"Z3125,0.3306625389613638","Z1887,Z1888"
Z2324,Z3125,5,"statistical,correlation,population,correlations,statistics,correlated,populations","5053.43333333,-1269.56666667","5024.6,-1289.3",2,0.29,"Z3125,0.43765443882123145","Z1891,Z1890,Z1889"
Z2325,Z3126,5,"characteristics,characterize,interpretation,characterizing,insight,characterization,gain","4532.85,-1725.3","4597.4,-1675",2,0.30,"Z3126,0.4975173791263891","Z1895,Z1894,Z1893,Z1892"
Z2326,Z3126,5,"identify,identified,identifying,identification,description,descriptions,describing","4818.2,-1622.8","4787.6,-1622",2,0.37,"Z3126,0.5010052850221436","Z1896,Z1897"
Z2327,Z3127,5,"manually,automatic,manual,automatically,tedious,consuming,automated","4028.26666667,-473.61","4032.3,-491.39",2,0.22,"Z3127,0.15868591424829814","Z1900,Z1899,Z1898"
Z2328,Z3127,5,"labels,label,labeling,labeled,mixture,lda,alternatively","4179.75,-301.74","4143.6,-263.64",2,0.20,"Z3127,0.08246670374375961","Z1901,Z1902"
Z2329,Z3127,5,"integration,integrated,integrate,integrating,integrates,realized,realize","4117.25,-268.83","4079.2,-215.7",2,0.28,"Z3127,0.06557395669714605","Z1903,Z1904"
Z1585,Z2213,7,"mc,cube,tetrahedrization,isocontour,scattered,nn,sx","502.51,-958.03","502.51,-958.03",1,0.05,"Z2213,0.11358540808191579",
Z1584,Z2212,7,"timestep,timesteps,isosurfacing","1045.7,-756.79","1045.7,-756.79",1,0.13,"Z2212,0.2409127077714812",
Z11075,Z2384,5,"feature,interested,meaningful","4970.8,-729.15","4970.8,-729.15",1,0.46,"Z2384,0.18919071870608273",
Z198,Z239,4,"agent,agents","4606.4,-2250.8","4606.4,-2250.8",1,0.04,"Z239,0.0018864291279144909",
Z199,Z239,4,"personality,traits,locus,loc,tufts,knowing","4854.9,-2205.5","4854.9,-2205.5",1,0.00,"Z239,1.2152187917007653E-5",
Z448,Z518,5,"explore,exploring,exploration,views,seeking,visualizations,interactions","3772.232,-416.5952","3743.6,-275.87",4,0.34,"Z518,0.5860000424838074","Z1945,Z1944,Z1941,Z1940,Z1943,Z1942,Z1929,Z1928,Z1938,Z1939,Z1930,Z1931,Z1932,Z1933,Z1934,Z1935,Z1936,Z1937,Z3134,Z3133,Z2344,Z2342,Z2343,Z2340,Z2341"
Z449,Z519,5,"trials,guidelines,completed,statistically,trial,completion,confidence","3690.01724138,-924.987241379","3796.8,-993.66",4,0.16,"Z519,0.38981967564318404","Z1949,Z1962,Z1960,Z1967,Z1966,Z1965,Z1948,Z1947,Z1946,Z1958,Z1959,Z1963,Z1961,Z1964,Z3136,Z3135,Z1956,Z1955,Z2346,Z2347,Z2345,Z2348,Z2349,Z1957,Z1954,Z1952,Z1953,Z1950,Z1951"
Z442,Z515,6,"expert,experts,tasks,feedback,familiar,methodology,expertise","3029.97435897,-2211.01794872","3158.3,-2120.4",4,0.27,"Z515,0.5601729369102573","Z1765,Z1764,Z1767,Z1781,Z1780,Z1789,Z1788,Z1787,Z1786,Z1785,Z1784,Z1783,Z1782,Z1769,Z1768,Z1766,Z3112,Z3113,Z1778,Z1779,Z1776,Z1777,Z1774,Z1772,Z1773,Z1770,Z1771,Z1775,Z2289,Z2288,Z2287,Z2286,Z2294,Z2290,Z2291,Z2292,Z2293,Z3114,Z3111"
Z443,Z516,6,"cognitive,taxonomy,human,cognition,taxonomies,mental,analysts","3009.88888889,-1592.57222222","3059.7,-1695.9",4,0.23,"Z516,0.3357355525328764","Z1795,Z1798,Z1799,Z1800,Z1790,Z1791,Z1792,Z1793,Z1794,Z1796,Z1797,Z2295,Z2296,Z2297,Z2298,Z2299,Z3115,Z3116"
Z192,Z237,4,"child,parent,children","4664.4,-2035.2","4664.4,-2035.2",1,0.12,"Z237,0.34841260231005294",
Z441,Z515,6,"collaboration,team,collaborative,collaborators,teams,working,members","3570.90379747,-1968.88481013","3450.3,-1969.4",4,0.27,"Z515,0.5366989026959805","Z1760,Z2269,Z2268,Z2267,Z1761,Z1763,Z1762,Z2278,Z2279,Z2272,Z2273,Z2270,Z2271,Z2276,Z2277,Z2274,Z2275,Z1749,Z1748,Z1743,Z1742,Z1741,Z1740,Z1747,Z1746,Z1745,Z1744,Z1754,Z1755,Z1756,Z1757,Z1750,Z1751,Z1752,Z1753,Z1758,Z1759,Z1721,Z1720,Z1723,Z1722,Z1725,Z1724,Z1727,Z1726,Z1729,Z1728,Z1732,Z1733,Z1730,Z1731,Z1736,Z1737,Z1734,Z1735,Z1738,Z1739,Z2283,Z2282,Z2281,Z2280,Z2285,Z2284,Z3103,Z3107,Z3106,Z3105,Z3109,Z3108,Z1718,Z1719,Z1712,Z1713,Z1714,Z1715,Z1716,Z1717,Z3110,Z3104"
