-44.0000 44.0000 -12.0000 0
-44.0691 43.9249 -12.0291 1
-44.0000 43.0000 -5.0000 0
-44.1373 42.9163 -5.0607 1
-44.0000 43.0000 5.0000 0
-44.1074 43.1531 5.0672 1
-44.0000 43.0000 14.0000 0
-43.9661 43.1295 14.0108 1
-44.0000 41.0000 8.0000 0
-43.9989 40.9724 8.0308 1
-44.0000 40.0000 -11.0000 0
-43.7999 40.0130 -11.0916 1
-44.0000 40.0000 -2.0000 0
-44.0197 39.9415 -1.9152 1
-44.0000 39.0000 -12.0000 0
-43.7477 39.0722 -12.0662 1
-44.0000 39.0000 -2.0000 0
-44.0194 38.9493 -1.8806 1
-44.0000 39.0000 6.0000 0
-43.8747 38.9965 5.9630 1
-44.0000 34.0000 5.0000 0
-43.6144 34.0095 4.9894 1
-44.0000 33.0000 -4.0000 0
-43.7861 33.0832 -3.9926 1
-44.0000 33.0000 4.0000 0
-43.5898 33.0106 4.0149 1
-44.0000 32.0000 -1.0000 0
-44.4415 31.9479 -1.1029 1
-44.0000 32.0000 5.0000 0
-43.6498 32.0345 4.9709 1
-44.0000 31.0000 -6.0000 0
-43.8359 31.0474 -6.0805 1
-44.0000 31.0000 0.0000 0
-43.5449 31.0338 0.0650 1
-44.0000 30.0000 -1.0000 0
-43.6053 30.0081 -0.9331 1
-44.0000 30.0000 4.0000 0
-43.6183 30.0553 3.9710 1
-44.0000 29.0000 -14.0000 0
-44.0413 29.0403 -13.8862 1
-44.0000 29.0000 -13.0000 0
-44.0000 28.9947 -13.0014 1
-44.0000 28.0000 -14.0000 0
-44.0622 28.0467 -13.9039 1
-44.0000 28.0000 -3.0000 0
-43.7694 27.9442 -3.0048 1
-44.0000 26.0000 -13.0000 0
-43.9911 26.0059 -12.9470 1
-44.0000 26.0000 5.0000 0
-43.8328 25.9955 5.0038 1
-44.0000 25.0000 8.0000 0
-43.9181 25.0143 7.9164 1
-44.0000 24.0000 -14.0000 0
-44.0217 23.9916 -13.8976 1
-44.0000 24.0000 -13.0000 0
-43.9752 24.0041 -12.9191 1
-44.0000 24.0000 -6.0000 0
-43.9362 23.9870 -6.0388 1
-44.0000 24.0000 2.0000 0
